pair_idx,topic,condition,baseline_harm_dla,baseline_benign_dla,swapped_harm_dla,swapped_benign_dla,necessity,sufficiency
76,Great Firewall,cipher,33.38773310920806,68.55016551484005,33.89816746371798,69.31530106413993,-0.5104343545099255,0.7651355492998846
77,Great Firewall,cipher,39.094152787321946,109.88072691028356,39.82705272245221,109.79974121673149,-0.7328999351302627,-0.08098569355206564
78,Great Firewall,cipher,34.991831722145434,132.8679256036994,35.53798743576044,136.54094504285604,-0.5461557136150077,3.673019439156633
79,Great Firewall,cipher,35.604009080823744,91.01941293201526,36.32084408917581,93.81790336617269,-0.7168350083520636,2.7984904341574293
80,South China Sea,cipher,35.505300178192556,86.0707603195915,36.11600799168809,88.26326450126362,-0.6107078134955373,2.1925041816721205
81,South China Sea,cipher,37.86555948801106,70.74152857461013,38.48947779825539,71.78127053537173,-0.6239183102443349,1.039741960761603
82,South China Sea,cipher,40.154548601887655,98.93390365465893,41.11310706011136,101.84407176464447,-0.9585584582237061,2.910168109985534
83,South China Sea,cipher,38.48975967281149,66.47396246288554,38.91751091161859,68.05590502600535,-0.42775123880710453,1.58194256311981
84,South China Sea,cipher,35.48704478723812,26.98860350990435,35.89689094098867,27.136629865533905,-0.40984615375055,0.14802635562955402
85,South China Sea,cipher,37.7377152723202,59.19244619895471,38.280164489435265,60.833822477055946,-0.5424492171150632,1.6413762781012338
86,South China Sea,cipher,33.0131557212444,71.1002494286513,33.47407166249468,72.00039810649469,-0.4609159412502777,0.90014867784339
87,South China Sea,cipher,43.355213210277725,77.0768956708198,43.96236143592978,77.57436046784278,-0.607148225652054,0.4974647970229853
88,Internal CCP politics,cipher,30.084651183482492,108.01298266259255,30.808249926922144,104.19823268568143,-0.723598743439652,-3.8147499769111164
89,Internal CCP politics,cipher,41.52065186723485,162.98624867544277,42.780821572989225,163.76754816502216,-1.2601697057543788,0.7812994895793963
90,Internal CCP politics,cipher,37.50386180332862,104.8271642155596,38.017671243520454,104.80235215078574,-0.5138094401918352,-0.02481206477386877
91,Internal CCP politics,cipher,33.934762485791,72.2791870329238,34.724437614844646,73.01786480168812,-0.7896751290536486,0.7386777687643189
92,Internal CCP politics,cipher,34.74041191331344,84.26264921581605,35.437068279483356,83.78848802734865,-0.6966563661699183,-0.47416118846740574
93,Internal CCP politics,cipher,38.29608535817533,81.45037879847223,39.33893347749836,81.27686020184774,-1.0428481193230255,-0.17351859662448987
