layer,n_pairs,mean_delta_mlp,mean_delta_attn_total,mean_delta_head_0,head_0_ci_low,head_0_ci_high,mean_delta_head_1,head_1_ci_low,head_1_ci_high,mean_delta_head_2,head_2_ci_low,head_2_ci_high,mean_delta_head_3,head_3_ci_low,head_3_ci_high,mean_delta_head_4,head_4_ci_low,head_4_ci_high,mean_delta_head_5,head_5_ci_low,head_5_ci_high,mean_delta_head_6,head_6_ci_low,head_6_ci_high,mean_delta_head_7,head_7_ci_low,head_7_ci_high,mean_delta_head_8,head_8_ci_low,head_8_ci_high,mean_delta_head_9,head_9_ci_low,head_9_ci_high,mean_delta_head_10,head_10_ci_low,head_10_ci_high,mean_delta_head_11,head_11_ci_low,head_11_ci_high,mean_delta_head_12,head_12_ci_low,head_12_ci_high,mean_delta_head_13,head_13_ci_low,head_13_ci_high,mean_delta_head_14,head_14_ci_low,head_14_ci_high,mean_delta_head_15,head_15_ci_low,head_15_ci_high
10,120,-0.012370005684594313,0.17245324025473868,0.0033884017107387383,-0.0020524269024220602,0.008062187889590856,0.0014691658783704043,0.0006601822135659555,0.0020783805373745658,0.012211118347477169,0.007324123194557615,0.017660915161832234,0.1534019813562433,0.12241187568365906,0.1935932754469104,-0.001992620706247787,-0.006209278697885262,0.0012498892667160057,-0.009009116410743446,-0.013243323706556112,-0.005667703658497584,0.026636065682396293,0.016640929431111243,0.037991840724910915,0.0030764239801404376,-0.0003687988240077781,0.00812813985724157,0.014550458500161767,-0.009274720728571993,0.054062536339624774,-0.015359575107383231,-0.03358418538894815,0.00020661304607831295,-0.0005074579132876048,-0.0013538088835775852,0.0003886359436243454,-0.007714016463917991,-0.010716393598316548,-0.0055405929537179575,-0.02733442004925261,-0.03258220236748457,-0.022165844978298994,-0.0032191612757742406,-0.009175453038769774,0.003955324222721768,0.009323379476942744,-0.0020022264722016794,0.01981979301800796,0.013532613248874744,0.0012019455863628537,0.02403184247300184
11,120,0.04626879433635622,-0.04437320436991286,-0.011011121557870259,-0.018355711669428273,-0.0027687327542419895,-0.00041643911972641943,-0.0038668180680057652,0.002645181167560318,-0.002175818112057944,-0.003433533550705761,-0.0013414388553549851,-0.002253554369478176,-0.003978136853353741,-0.0008341535594081533,-0.006854136955613891,-0.009884734059063097,-0.0023402090956612235,0.015591724713643392,0.004609843085054308,0.023416627403348683,-0.004656382595809797,-0.006147235604779174,-0.0032298008030435693,-0.005127648923856517,-0.008772603920854938,-0.001116844615705003,-0.046962235557536286,-0.06135080214279393,-0.03044289705188325,0.0008047781729449828,-0.0028233235930868734,0.004283497300542269,0.0010215020864658678,-0.0011495557595965996,0.002922387523916159,-0.00021045327691050867,-0.0020315606917817304,0.0016667149361940868,0.0025225036777555944,-0.007470633776392788,0.011118211663948982,-0.0028429860016331077,-0.005599848935962655,-0.0004071250082536919,0.025447606202214958,0.008991693169809878,0.041959557712543755,-0.007250542752444744,-0.012545305810247858,-0.002227313222053152
12,120,-0.04501007475579778,0.27306593426231607,0.041930581373162565,0.021478566794539803,0.05841496325524834,0.004485130310058594,-0.008074689881177618,0.015873958586404717,0.19919561579202613,0.16846492005900168,0.2317331305662325,-0.009577858444148053,-0.013775398191840699,-0.004993124790974742,-0.024186275992542507,-0.035253087824676184,-0.011431525795875749,-0.00030551970509501794,-0.001995664123047997,0.0014631427887070447,-0.0022325875625635186,-0.004498901320815396,0.0002537031985896945,-0.005113064109658201,-0.010630282294393207,0.0034598256046107522,0.0004347052269925674,-0.00014353580035579702,0.0012221064901677874,-0.0008295966933170954,-0.008352370069672665,0.005076813739724444,0.0008710592364271481,-0.00020729017172319193,0.0020307427788308504,-0.005490025132894516,-0.012285660033036645,0.003318512349505903,-4.07579083306094e-05,-0.0019466167333303018,0.001293981170844442,0.07149245964828879,0.0518901789097193,0.09152541114153183,0.005719719338230789,0.003960653481578143,0.007228715443440402,-0.0032876511143210036,-0.004736977598707502,-0.001545690174971242
13,120,0.021760642311225334,0.1392182180386347,0.05504317828454077,0.03574063426543338,0.08465626206016166,0.0005844950714769463,-0.006796149901347234,0.0059715088626641445,0.00263726221358714,0.0007276397874132575,0.004324946548197961,0.001500633560741941,-0.006579217535327189,0.009573158776620402,6.191353313624858e-05,-0.0006768064534602066,0.0006053049709104621,0.0035888661067777624,0.0026987734453966065,0.004506001990181781,0.0007265735029553373,-0.00839173459156882,0.012320316433518498,0.0008285094130163392,-0.0009288674519242097,0.0021882974825954684,-0.01606920068928351,-0.03121703678315195,-0.0001101488274677688,-0.0015642088217039903,-0.012825329733313993,0.01080479935354863,0.04641408819006756,0.025959306576599676,0.06759051964734678,0.0433248774226134,0.01799917517249317,0.06388445354823485,0.006818638850624363,-0.0014496194072611008,0.013318680872131755,-0.008672359116220225,-0.014749207859082769,-0.0025981213457998862,-0.00040505868770803014,-0.0036120092925072335,0.002735440438458072,0.004400009204012652,-0.0007974373141769319,0.007880431496887467
14,120,-0.03368810723380496,0.0062486483783383544,0.010174220761594672,0.008056718365017635,0.013909085196210069,0.014692284314272304,-0.0003316331825529535,0.028712300828386404,0.02518921470424781,0.015084966467887474,0.037383882389597896,0.0014625456339369218,-0.0075166300424219425,0.012762074167064074,0.0003280549465368191,-0.005289884508820251,0.005984450665613013,-0.04344202047990014,-0.05872266917935728,-0.03052535310038366,0.04789563333615661,0.01897132711679054,0.07706984065667102,-0.006111491840177526,-0.01701613969654621,0.006672663243371061,-0.0033587091253139078,-0.013014008986356202,0.0035944971968031787,-0.030034190990651646,-0.04264508056725996,-0.01840578215196729,-0.049671072404210766,-0.060096118656607966,-0.03937451412183389,-0.007183004224983355,-0.013444378859712742,-0.0027150220767362073,0.043652493576519194,0.028249799700958343,0.05864811006991656,-0.005090266878445012,-0.0064583363303245276,-0.003781553594089929,0.017003733944147826,0.011329202766646632,0.021357254665538977,-0.009258776895391445,-0.013654710948467255,-0.005036593501960552
15,120,0.021224622366329035,-0.08865679282462224,0.0036990884381035965,-0.0026295476511586455,0.010048171272016283,0.01661644330403457,0.009855483030260076,0.023219038203145213,-0.008676225847254197,-0.012558999276370742,-0.005301810980696854,0.000359987475288411,-0.00044401811843272296,0.0011498856697774802,0.04604642052824299,0.028988545497801776,0.06521721763264697,-0.031033070591123153,-0.037277103214000816,-0.024430271465583554,-0.006607055384665728,-0.008910062924648325,-0.004600190003402531,-0.011690745293162764,-0.015831873664671245,-0.00858106115968743,0.06697091455571354,0.0447418857680168,0.08968247096636332,-0.03562417147525897,-0.05370963814707162,-0.013929040639777708,-0.004723854378486673,-0.007541705123148859,-0.0030786636312647424,-0.000990054151043296,-0.007981742677511647,0.004538470311478398,-0.003266228836340209,-0.009988534121851748,0.00217385398126983,-0.013703186026153466,-0.01819884258574651,-0.009502775758155623,-0.021147196802000206,-0.027213341314345597,-0.01659406861212726,-0.08488785834051668,-0.09948010605371868,-0.07261051841662265
16,120,0.013847275303366284,-0.018482773384312166,0.004061236783551673,0.0015017223053534205,0.006395191293753058,0.023568193381652235,0.013254805159134169,0.03273601563996635,-0.0036122189019806685,-0.016889088340006613,0.011762173005360324,0.024395102200408778,0.01986294530846256,0.029502490052739933,-0.0291246865876019,-0.0421052347899725,-0.018652917439661302,-0.006497730384580791,-0.019059490408205117,0.002053171433314369,0.013045035500545055,0.008951475278396782,0.018012508371224003,0.018199827114585787,0.006131711712902567,0.032870705895378084,0.0005604204857566704,-0.0006830511912024425,0.0017704918233600122,-0.000788364103451992,-0.0024576124624096944,0.0005020389686008751,0.0022367397439666094,0.0007988547021523118,0.003868408599907219,-0.05985773943830282,-0.06980575311938689,-0.04625143900339027,-0.007173807020687188,-0.008987898754518634,-0.005675101278951237,-0.006853338253373901,-0.009814223109278828,-0.004532405204372481,0.01611824406621357,0.01237106994066077,0.02042647667442603,-0.0067596879710132875,-0.009130858890130185,-0.004739958189311437
17,120,-0.016143092443235217,-0.036259417237791546,-0.0004476286645513028,-0.0067000539643534765,0.00500236513573327,0.00419064402328028,0.0023463120930682633,0.005872039921717562,-0.006821498814194153,-0.014320540976089736,-0.0016742057139830092,-0.010414190179047485,-0.020145509940339253,-0.003149293724563909,-7.608655141666531e-06,-0.00040336699714922967,0.0002987226113327778,-0.018524554406758396,-0.022322881088184657,-0.015658598348187905,0.005131186750562241,-0.019540685356284178,0.03128811798436799,-0.04244906971386323,-0.05822709529408409,-0.027413292187460102,-0.0024691409664228557,-0.005990382971843549,0.00043488348950631694,-0.007954481107299216,-0.011020142251242456,-0.0049717192248256966,-0.012411210363886009,-0.015875168278580532,-0.009762163861693504,0.013066904208001991,-0.0006460666078298042,0.02980348057191198,0.006932414311449975,0.004511707490019034,0.008687770956700357,0.03488307567313313,0.020320386026675505,0.049870105295752476,0.01970629407054124,0.014349894217739348,0.027503040559822684,-0.018670553403596083,-0.03485526781994849,-0.0008944315564197811
18,120,0.029197782813571393,-0.2742234909790568,0.03757363121646146,0.02889275535941124,0.04735873841020899,-0.005361789495994648,-0.015733680417761207,0.005471063344739377,-0.058514297699245314,-0.06753623692105369,-0.05039920516341227,-0.031194526671121516,-0.04740683973669851,-0.01424624683044387,0.00889279218778635,0.0030873725523512504,0.013207544139586386,-0.007365884073078632,-0.02681726347810278,0.01439300846657715,0.037713771164029214,0.027993313982879048,0.04882899478907347,-0.0018358083053802452,-0.011178498406661673,0.005573952467918084,0.004476249681708093,-0.001550166220986284,0.010777860228748368,-0.006791903707198799,-0.014733292712286735,0.00242104548844508,0.0009306274548483392,9.792032447876409e-05,0.0018136897969331278,-0.009126336383633315,-0.014282219520343158,-0.002032892832260891,-0.030584748291100066,-0.054511942947283384,-0.014893622109278422,-0.08643946778029203,-0.10501958916235404,-0.06919411118258723,-0.11954955213392775,-0.13703181090725897,-0.10030968088423833,-0.007046248142917951,-0.021459607998064407,0.0019042759609874337
19,120,0.016067125489159177,-0.1717159961127133,-0.03199251825766017,-0.044790052820074686,-0.01954181026182293,0.11636875222514693,0.0946064382707118,0.13964597383843888,-0.02216675183735788,-0.03452109562388311,-0.008584490040084356,-0.11962879916342596,-0.13434365379352434,-0.10420977976367188,-0.00480454556333522,-0.01669087905533767,0.006579005921375933,0.021633446224344273,0.01582039267096358,0.028739992772267818,0.011649813062588995,0.009284888983772058,0.014128214646383032,0.004090032780853411,4.1513760418941594e-05,0.007867595377610996,-0.012051776408528288,-0.01908794956068353,-0.0036096502312769527,-0.010443115308104704,-0.014608646931689388,-0.004924652028615435,0.0011642861121799798,-0.003795475173683371,0.007625320163497232,0.0075849150268671416,0.004911193351823992,0.011597525248750264,-0.1054778241397192,-0.12285851403876828,-0.09036875693826005,0.00815261465710743,0.004182197660435728,0.011549747347938438,-0.030126224171059826,-0.048192378672150274,-0.008891935634698417,-0.005668301352610191,-0.013830320422227184,0.0017782810454567202
20,120,-0.017371932824607937,-0.17313642039468202,-0.026150925364345313,-0.035148629010266934,-0.014665396539106363,-0.027198565559228883,-0.03250349248943773,-0.020751131387514766,-0.005489998054690659,-0.0125518742580122,0.002706765746115706,0.018689444195479153,0.011979050548591962,0.02455586305703036,-0.0063573685474693775,-0.009295449501369148,-0.0035379410655392955,-0.06129371339144806,-0.0692593171792881,-0.0531270129889405,-0.101111960131675,-0.11826185168329781,-0.08154530640730324,0.005263085702123741,-0.0011860951078900446,0.01255994832802874,0.020461043963829677,0.015167526603036094,0.025607705213090713,-0.039602700419103104,-0.05481520217765744,-0.02105284361537392,0.03468970856629312,0.017360126144291523,0.057513817556124766,0.0004798451904207468,-0.006432188188967606,0.007262526251918944,-0.03574802894921352,-0.051113128281819326,-0.017928738818930808,-0.01736413997908433,-0.03020562934689224,-0.007792656859771042,0.0888157694057251,0.060294692181050775,0.11056038103609657,-0.021217917022295297,-0.031831595721305346,-0.009939908304174131
21,120,0.04813937074504793,-0.17961684281666143,-0.0009362998884171247,-0.008765572027380888,0.007707712446184203,-0.00514402340631932,-0.029842318983088867,0.016715832444606324,-0.0028259954357054084,-0.016668202341922247,0.012498850222133715,-0.046038462256547064,-0.05398236678311757,-0.038950460871759185,-0.02264644217211753,-0.03737146017607301,-0.0031481602233058496,-0.05206543210855064,-0.06335859534694464,-0.0432436732967714,0.02271307953633368,0.016552602827044516,0.026889645899451958,0.006606597849167883,-0.01211769434720433,0.023620995696595242,0.005817612221774956,0.0009649290895322337,0.010992510979219028,-0.0020284900441765786,-0.017860418357498322,0.013352980688602353,0.021655048728765298,0.015016961797082331,0.028900149632148285,0.05191565699254473,0.0381886384213188,0.06752575032568225,-0.01585206707629065,-0.03157412173207073,-0.001048076466540818,0.008915374173860376,0.005815561355363267,0.011789223842982513,-0.1689043755332629,-0.18905174325647142,-0.14816395130745758,0.01920137560227886,0.013747509617339044,0.024667866156863352
22,120,-0.01954861442403247,0.010012602852657437,-0.010108770336955786,-0.02006224325625226,0.0002709488687105452,0.052350693646197516,0.03153188064306354,0.0719388875631072,-0.0035436394236360988,-0.007354011930098447,0.0012958410069889683,0.1392634090812256,0.12688662935397588,0.15236757633043452,0.009856192162260413,0.00639005088324969,0.0144260554073844,0.05223630249965936,0.037938639416631004,0.06555778397111377,0.022346027668875952,0.004450585114924858,0.04522761653895334,-0.0814927241182886,-0.10176978876232169,-0.06030535799072825,-0.27319856913139423,-0.29487947991195446,-0.24868233411495264,0.02001132999236385,0.008943426243495197,0.029280562209896742,0.12781458027505627,0.0979101690426857,0.15195063130309183,-0.032792775010845314,-0.04355631089555875,-0.02184710710008707,0.009547049668617547,0.004484363586331407,0.014553536539121217,-0.02574868402443826,-0.03861337268841453,-0.013053658110632882,0.03617812020238489,0.029184662336095547,0.043728332689691646,-0.032705940298425655,-0.04049917092915469,-0.024282941937174965
23,120,0.039292177072881414,0.15095969060785136,0.0062745243039292594,-0.0018950880815585456,0.01201310496408647,0.022778471283769856,0.018847484202027167,0.026990232778092222,-0.06619826553699872,-0.0804953735791302,-0.05266486689428954,0.023382247091891864,0.013837053991737775,0.033122185289782155,0.02426167432179985,0.019917641291006778,0.028842320421924035,0.18962097394590577,0.16736285411345306,0.21254252158648643,0.003002878944001471,-0.008718366201986403,0.01338632492610486,-0.0024059749305403483,-0.005939984159970966,0.0005423735549265954,-0.0023688033300762377,-0.007074492098666572,0.0021116237276388927,-0.0057765167516966665,-0.00877917125665893,-0.0022132194631073335,-0.06158131536794827,-0.07855159261244504,-0.046749319224327374,0.007889679918298498,0.004935558542977863,0.011143687983082295,0.02270553254444773,0.01283424131339416,0.02890764310606755,0.002929084363859147,-0.0062780917524166095,0.01062418719210351,0.03455308497456523,0.02414583673943222,0.049799458982500544,-0.048107585167357074,-0.060072212869611875,-0.03695495755324374
24,120,0.063037555750149,0.10354687453752073,-0.005801990760179857,-0.019870063533696036,0.00820316253598624,0.00487489701093485,0.0005768579483265057,0.009085998220446827,-0.1295932372682728,-0.1445291626811377,-0.11689632674834381,0.08793719044576088,0.07252716564049479,0.10245359744973632,-0.18734068508880833,-0.21226161696172008,-0.1598847523114334,0.12122178550149935,0.0857347245302905,0.15756376612834472,0.03507344219833612,0.02388981144526042,0.044973727870577324,0.24998229092452676,0.22390546535296987,0.2832159507625814,0.013178483947801094,0.009356481989573997,0.017569789097760802,-0.003030273917829618,-0.004735451095621101,-0.0015427632876768864,-0.07877587149851024,-0.09065074492905599,-0.06813917990696305,-0.02186692274796466,-0.04041269405919593,-0.0019305029367872898,0.0027861290029250084,0.001243804305801556,0.0042349226196529335,0.0011409466775755088,0.0007250731751749603,0.0015570223825246404,0.007920096535235644,-0.0011278998809090505,0.018774036352794288,0.005840593574491019,-0.002290180964143171,0.011529154231636007
25,120,0.018656159221427514,0.03157886595387633,-0.042872691162241,-0.05901418348463873,-0.03249892257503235,0.028391062802014252,0.017190009341866243,0.042687493640890646,-0.01232065884784485,-0.016412718323117588,-0.007783870319447792,0.015547940616185467,0.010945552582852543,0.02043630748133485,-0.010841232388823603,-0.015188606677450783,-0.007133594123345881,-0.026934830578587327,-0.033777398090508844,-0.018828224579774552,-0.04607711142549912,-0.05765496666737211,-0.032293793411226956,0.06347897569648922,0.054347314634554396,0.07277856181666718,-0.022197259264066814,-0.05188484178196329,0.013703401352201274,0.09754323605448008,0.08171582555495358,0.11627473370404912,-0.00724239939202865,-0.016694469688033373,0.005234910774743178,-0.0075759284819165865,-0.018806568968575448,0.0036340121944279636,-0.010483113519148901,-0.014040510832855943,-0.006959723907881806,0.012558624346274883,0.008395947617924927,0.017930494465496546,0.0025075364062407362,-0.0003781051239639055,0.005750509748710706,-0.0019032849076514443,-0.008748563140591917,0.004379249781486568
